Provider ID,Agency Name,Street Address,City,State,Zip Code,Total Episodes (non-LUPA),Distinct Beneficiaries (non-LUPA),Average Number of Total Visits Per Episode (non-LUPA),Average Number of Skilled Nursing Visits Per Episode (non-LUPA),Average Number of PT Visits Per Episode (non-LUPA),Average Number of OT Visits Per Episode (non-LUPA),Average Number of  ST Visits Per Episode (non-LUPA),Average Number of Home Health Aide Visits Per Episode (non-LUPA),Average Number of Medical-Social Visits Per Episode (non-LUPA),Total HHA Charge Amount (non-LUPA),Total HHA Medicare Payment Amount (non-LUPA),Total HHA Medicare Standard Payment Amount (non-LUPA),Outlier Payments as a Percent of Medicare Payment Amount (non-LUPA),Total LUPA Episodes,Total HHA Medicare Payment Amount for LUPAs,Average Age,Male Beneficiaries,Female Beneficiaries,Nondual Beneficiaries,Dual Beneficiaries,White Beneficiaries,Black Beneficiaries,Asian Pacific Islander Beneficiaries,Hispanic Beneficiaries,American Indian or Alaska Native Beneficiaries,Other/ Unknown Beneficiaries,Average HCC Score,Percent of Beneficiaries with Atrial Fibrillation,Percent of Beneficiaries with Alzheimer's,Percent of Beneficiaries with Asthma,Percent of Beneficiaries with Cancer,Percent of Beneficiaries with CHF,Percent of Beneficiaries with Chronic Kidney Disease,Percent of Beneficiaries with COPD,Percent of Beneficiaries with Depression,Percent of Beneficiaries with Diabetes,Percent of Beneficiaries with Hyperlipidemia,Percent of Beneficiaries with Hypertension,Percent of Beneficiaries with IHD,Percent of Beneficiaries with Osteoporosis,Percent of Beneficiaries with RA/OA,Percent of Beneficiaries with Schizophrenia,Percent of Beneficiaries with Stroke
17008,JEFFERSON COUNTY HOME CARE,2201 ARLINGTON AVENUE,BESSEMER,AL,35020,184,81,11.4,7.3,3.0,0.0,0.0,1.1,0.2,452388.00,391761.00,456984.00,0.0,15,4266.00,67,28,53,22,59,19,62,0,0,0,0,2.11,7,26,14,7,35,56,21,27,46,52,,38,6,43,22,12
17009,ALACARE HOME HEALTH & HOSPICE,2970 LORNA ROAD,BIRMINGHAM,AL,35216,11823,6058,17.6,9.0,4.1,1.0,0.2,3.1,0.1,29960713.00,28265597.00,34406769.00,0.1,1099,325218.00,76,2322,3736,4581,1477,5120,883,,29,,17,2.16,21,33,13,14,46,47,38,39,45,63,,57,15,61,9,13
17013,GENTIVA HEALTH SERVICES,"557 GLOVER STREET, SUITE 5",ENTERPRISE,AL,36330,856,480,21.5,8.5,6.8,3.1,0.1,3.0,0.0,3162309.00,2463792.00,3168288.00,0.3,48,12806.00,76,178,302,351,129,406,64,,,0,,1.91,20,32,10,10,34,38,33,29,45,66,,53,14,62,9,13
17014,AMEDISYS HOME HEALTH OF BLOUNTSVILLE,"1106 2ND AVENUE E, SUITE E",ONEONTA,AL,35121,784,482,19.4,8.0,5.4,2.9,0.9,2.1,0.2,2522883.00,2060760.00,2586684.00,0.0,108,28721.00,75,164,318,362,120,471,,0,,0,,1.87,17,36,9,11,42,38,35,43,42,61,,52,15,67,15,11
17016,SOUTHEAST ALABAMA HOMECARE,804 GLOVER AVENUE,ENTERPRISE,AL,36330,1002,528,13.9,8.7,3.0,1.7,0.1,0.2,0.1,2912564.00,2227294.00,2816950.00,0.3,114,30713.00,73,216,312,339,189,379,133,,,,,2.00,19,30,17,11,41,39,37,28,52,64,,55,11,62,10,13
17018,GENTIVA HEALTH SERVICES,"3225 RAINBOW STREET, SUITE 256",RAINBOW CITY,AL,35906,2685,1128,19.0,8.7,6.0,1.6,0.7,2.0,0.1,9055441.00,7039877.00,8720568.00,0.0,150,41252.00,77,395,733,789,339,1068,51,,,0,,2.08,18,39,9,12,47,41,41,37,45,60,,57,13,66,11,13
17020,AMEDISYS HOME HEALTH CARE,"273 AZALEA ROAD, SUITE 104, BLDG 2",MOBILE,AL,36609,1213,773,15.4,8.0,3.9,1.6,0.6,1.2,0.2,3094478.00,2848882.00,3595389.00,0.1,158,46855.00,74,280,493,611,162,584,173,,,0,,1.92,21,33,13,12,42,39,32,30,47,62,,57,15,60,10,14
17024,SOUTHEAST ALABAMA HOMECARE,"810 HEDSTROM DRIVE, SUITE ONE",DOTHAN,AL,36301,2058,1137,14.0,8.0,3.7,1.4,0.5,0.2,0.1,6215048.00,4534182.00,5861454.00,0.1,329,95553.00,75,430,707,667,470,755,369,,,,,2.04,22,30,16,15,41,48,30,31,53,71,,57,14,60,10,16
17025,SAAD HEALTHCARE,"1515 UNIVERSITY BLVD, SOUTH",MOBILE,AL,36609,2440,1219,18.5,9.2,4.8,2.2,0.7,1.6,0.1,7674491.00,6208916.00,7780103.00,0.1,207,57146.00,75,465,754,937,282,808,397,,,,,2.17,21,35,13,13,42,44,28,29,46,62,,58,13,55,7,16
17026,GENTIVA HEALTH SERVICES,"2200 RIVERCHASE PARKWAY, BUILDING 700",BIRMINGHAM,AL,35244,1345,797,22.5,8.0,7.9,2.2,0.5,3.9,0.1,5135700.00,4244266.00,4948149.00,0.1,82,27139.00,77,284,513,646,151,528,262,0,,0,,2.07,18,40,14,11,40,44,28,39,46,65,,50,16,62,9,15
