HHRG,HHRG Description,Total Episodes,Distinct Beneficiaries,Total HHA Charge Amount,Average HHA Charge Amount,Total HHA Medicare Payment Amount,Average HHA Medicare Payment Amount
1AFK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1",88712,83000,156865633,1768,156287678,1762
1AFL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2",7447,7430,15624365,2098,15687837,2107
1AFM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 3",18778,18645,46459230,2474,46069431,2453
1AFN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 4",4525,4514,13004679,2874,12609210,2787
1AFP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 5",11772,11699,38128304,3239,36764918,3123
1AGK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 1",181469,171469,332998365,1835,387391273,2135
1AGL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 2",24717,24631,57084684,2310,60608441,2452
1AGM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 3",70697,69949,189190246,2676,194642593,2753
1AGN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 4",18250,18193,56751668,3110,55622191,3048
1AGP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 2,Service Severity Level 5",45089,44590,160370081,3557,150698086,3342
1AHK,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 1",82182,78679,159723478,1944,189386148,2304
1AHL,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 2",13794,13750,32815242,2379,36471530,2644
1AHM,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 3",41254,40842,115564310,2801,122556804,2971
1AHN,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 4",11385,11347,37158559,3264,37352078,3281
1AHP,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 3,Service Severity Level 5",30854,30531,114064243,3697,110797910,3591
1BFK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 1",99142,93524,183769924,1854,185129451,1867
1BFL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 2",10115,10084,20749322,2051,22565133,2231
1BFM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 3",26020,25801,63501005,2440,67583236,2597
1BFN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 4",6615,6586,19231254,2907,19522416,2951
1BFP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 1,Service Severity Level 5",16687,16485,54590274,3271,55539450,3328
1BGK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 1",350275,323290,648662279,1852,784330437,2239
1BGL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 2",55036,54738,119956922,2180,141477026,2571
1BGM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 3",161436,158438,421468034,2611,471932725,2923
1BGN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 4",42770,42416,132688079,3102,138541483,3239
1BGP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 2,Service Severity Level 5",105756,103100,366383640,3464,378187402,3576
1BHK,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 1",204935,192817,426487216,2081,487184838,2377
1BHL,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 2",40703,40529,90885307,2233,111520170,2740
1BHM,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 3",123359,121596,333195287,2701,382996116,3105
1BHN,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 4",35315,35118,111966017,3170,121223840,3433
1BHP,"Early Episode, 0-13 therapies,Clinical Severity Level 2,  Functional Severity Level 3,Service Severity Level 5",94521,92871,339024266,3587,355859489,3765
1CFK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 1",86073,79837,217410382,2526,188558794,2191
1CFL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 2",4760,4755,12829294,2695,11986115,2518
1CFM,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 3",13871,13810,42659149,3075,40527328,2922
1CFN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 4",4318,4310,15138397,3506,14418559,3339
1CFP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 1,Service Severity Level 5",14560,14511,56789938,3900,54627288,3752
1CGK,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 1",270007,245410,646251813,2393,676926079,2507
1CGL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 2",23940,23837,65809236,2749,68489548,2861
1CGM,"Early Episode, 0-13 therapies,Clinical Severity Level 3, Functional Severity Level 2,Service Severity Level 3",74978,73548,234556002,3128,247698357,3304
1CGN,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 4",20346,20147,72487629,3563,74759242,3674
1CGP,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 2,Service Severity Level 5",55897,54380,218326533,3906,229326848,4103
1CHK,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 1",208657,187117,517854242,2482,554126686,2656
1CHL,"Early Episode, 0-13 therapies,Clinical Severity Level 3,  Functional Severity Level 3,Service Severity Level 2",23854,23697,68384370,2867,72560894,3042
